CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
CNFSTRPHYZHTGV-UHFFFAOYSA-N	053	1-[(2-aminopyridin-4-yl)methyl]-3-(2-oxo-1,2-dihydropyridin-3-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
DKKCMDSCGHLOLY-UHFFFAOYSA-N	054	1-[(2-aminopyridin-4-yl)methyl]-3-(2,4-dioxo-1,2-dihydrothieno[3,4-d]pyrimidin-3(4h)-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
KRIVDSIBMDCVLL-DEOSSOPVSA-N	055	(2s)-{[(3-{[(2-chloro-6-methylphenyl)carbamoyl]amino}naphthalen-2-yl)carbonyl]amino}(phenyl)ethanoic acid
HGKCARZTNCHYIF-UHFFFAOYSA-N	056	3-[(2,4-dichlorophenyl)methylsulfanylmethyl]benzoic acid
XZRYCTLOGNCQDG-UHFFFAOYSA-N	057	n-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1h-pyrrolo[2,3-b]pyridin-2-yl)-1h-indole-5-carboxamide
IOOYKINARCKSEF-UHFFFAOYSA-N	058	1-benzyl-5-chloro-3-(2-fluorophenyl)-1h-indole-2-carboxylic acid
CTQDLSDUHUFBQW-LEWJYISDSA-N	059	(2s)-2-[3-(aminomethyl)phenyl]-3-{(s)-hydroxy[(1r)-2-methyl-1-{[(2-phenylethyl)sulfonyl]amino}propyl]phosphoryl}propanoic acid
QSDGMDKMSSYMKU-UHFFFAOYSA-N	05B	2'-[2-(1,3-benzodioxol-5-yl)pyrimidin-4-yl]-5',6'-dihydrospiro[piperidine-4,7'-pyrrolo[3,2-c]pyridin]-4'(1'h)-one
SHGOSUGSVFEXFV-LBELIVKGSA-N	05L	heptyl 1-seleno-beta-d-glucopyranoside
OKDDZUAFBARWMD-YUPRTTJUSA-N	05N	(3r,4r)-4-hydroxy-3-methyl-l-proline
ZOUPGSMSNQLUNW-UHFFFAOYSA-N	05R	2-(3,4-dichlorophenyl)ethanoic acid
DGOVAFNEOBXFEF-AWEZNQCLSA-N	05S	(6s)-6,15,15,18-tetramethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-8,12-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
NRPMCWSMDJQOJE-LJGSYFOKSA-N	05T	1-[4-(aminomethyl)cyclohexyl]guanidine
LYOZUFJTWQKQAM-IUCAKERBSA-N	05U	(3s,4s)-4-azanyl-2,6-dimethyl-heptan-3-ol
GUNDRKRTYHTHOS-VGMNWLOBSA-N	05W	(2r,3s,4s)-4-azanyl-2,6-dimethyl-heptane-1,3-diol
IDIDJDIHTAOVLG-GSVOUGTGSA-N	060	s-methyl-d-cysteine
UNVNHFHIKCWHHG-UHFFFAOYSA-N	061	2-butyl-6-hydroxy-3-[2'-(1h-tetrazol-5-yl)-biphenyl-4-ylmethyl]-3h-quinazolin-4-one
GVACNUIKZUGUGU-JYFHCDHNSA-N	062	3-aza-9-hydroxy-9-fluorenylcarbonyl-l-prolyl-2-aminomethyl-5-chlorobenzylamide, n-oxide
BYTNEISLBIENSA-MDZDMXLPSA-N	064	3-[(e)-2-(2-chloro-4-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}phenyl)ethenyl]benzoic acid
HNEIRZJZTYYDES-VPZBFSRCSA-N	065	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl(2s,3r)-3-hydroxy-4-(n-isobutylbenzo[d][1,3]dioxole-5-sulfonamido)-1-phenylbutan-2-ylcarbamate
JFHROPTYMMSOLG-UHFFFAOYSA-N	066	6-{[3-(dimethylcarbamoyl)phenyl]sulfonyl}-4-[(3-methoxyphenyl)amino]-8-methylquinoline-3-carboxamide
FNXBXKCBXINKKL-UHFFFAOYSA-N	067	p-(4-ruthenocenyl-1h-1,2,3-triazol-1-yl)benzenesulfonamide
QSVVRYPBRVSBDL-SFHVURJKSA-N	068	(3s)-5-(4'-acetylbiphenyl-4-yl)-3-hydroxypentanoic acid
IRGXGFPSYHAJER-UHFFFAOYSA-N	069	n,3-dihydroxybenzamide
CUQANLQRQJHIQE-UHFFFAOYSA-N	06B	3-bromo-2,6-dimethoxybenzoic acid
INQOMBQAUSQDDS-UHFFFAOYSA-N	06C	iodomethane
ZPGBLWCHXWTWDI-UHFFFAOYSA-N	06F	1-[3-tert-butyl-1-(4-methylphenyl)-1h-pyrazol-5-yl]-3-{3-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}urea
QPCQIBFESZKAHD-HNNXBMFYSA-N	06H	(6s)-4,6,15,15,18-pentamethyl-5,17-dioxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
WQTXERXALASGRT-GOSISDBHSA-N	06J	(3ar)-13,13,16-trimethyl-15-oxo-1,2,3,3a,4,5,12,14,15,17,18,19-dodecahydro-13h-10,6-(metheno)pyrrolo[2',1':3,4][1,4,9]triazacyclotetradecino[9,8-a]indole-7-carboxamide
XPNLMZJVXKGMFM-MOPGFXCFSA-O	06P	d-phenylalanyl-n-[(1-methylpyridinium-4-yl)methyl]-l-prolinamide
LSKQRMBPLLMJRR-UHFFFAOYSA-N	06R	2-[4-(trifluoromethyl)phenyl]-3h-quinazolin-4-one
PRHQISJBVGJFKN-VXGQQCRQSA-N	06S	o-[(2r,3s,4r,5r)-5-(2-amino-6-oxo-3,6-dihydro-9h-purin-9-yl)-2-({[(s)-({(2r,3s,4r,5r)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2h)-yl)-4-hydroxy-2-[(thiophosphonooxy)methyl]tetrahydrofuran-3-yl}oxy)(sulfanyl)phosphoryl]oxy}methyl)-4-hydroxytetrahydrofuran-3-yl] dihydrogen (s)-phosphorothioate
JSSUIPOIXFFFQU-NJAFHUGGSA-N	06T	(5r,6s)-3-(l-alanyl)-5,6,15,15,18-pentamethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,5,9]triazacyclotetradecino[1,2-a]indole-9-carboxamide
KEPLBUUTAQCZOE-AWEZNQCLSA-N	06U	6-ethyl-5-{(3r)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
DNZHKQMESCYJCG-AWEZNQCLSA-N	06V	6-ethyl-5-{(3r)-3-[3-methoxy-5-(morpholin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
KEPLBUUTAQCZOE-CQSZACIVSA-N	06W	6-ethyl-5-{(3s)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
HTIQEAQVCYTUBX-QGZVFWFLSA-N	06X	amlodipine
LCPDWSOZIOUXRV-UHFFFAOYSA-N	06Y	2-phenoxyethanoic acid
CGDCHWZCEONCMK-UHFFFAOYSA-N	06Z	{4-amino-2-[(3-fluorophenyl)amino]-1,3-thiazol-5-yl}(phenyl)methanone
CLMSVPLZZGIKTP-MLHJIOFPSA-N	070	(1r,2s)-2-azanyl-3-phenyl-1-[(2r,3r)-3-(phenylmethyl)oxiran-2-yl]propan-1-ol
SWTRIZHCIUWGAU-UHFFFAOYSA-N	071	8-{[2-methoxy-5-(4-methylpiperazin-1-yl)phenyl]amino}-1-methyl-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxamide
GHJJBEKMPCOSRH-LRHLLKFHSA-N	072	(+/-)(2s,5s)-3-(4-(4-carboxyphenyl)butyl)-2-heptyl-4-oxo-5-thiazolidine
GWWTUJWRRCTCSI-AOCUTKQBSA-N	073	(4-{(2s,4e)-2-(1h-1,2,3-benzotriazol-1-yl)-2-[4-(methoxycarbonyl)phenyl]-5-phenylpent-4-enyl}phenyl)(difluoro)methylphosphonic acid
UDNIFTKCMDIXFC-ABHRYQDASA-N	074	[propylamino-3-hydroxy-butan-1,4-dionyl]-isoleucyl-proline
GNSJNHNIJIEWNZ-SHJYOGRKSA-N	075	(4r)-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-3-[(2s,3s)-2-hydroxy-3-({n-[(isoquinolin-5-yloxy)acetyl]-3-(methylsulfonyl)-l-alanyl}amino)-4-phenylbutanoyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
ZYLARFCKPNSSDA-OUFDATPMSA-N	076	(s)-n-((1r,2s)-1-((2r,3r)-3-benzyloxiran-2-yl)-1-hydroxy-3-phenylpropan-2-yl)-3-methyl-2-(2-phenoxyacetamido)butanamide
ILGSIIFHQGOKKV-INIZCTEOSA-N	077	(3s)-5-biphenyl-4-yl-3-hydroxypentanoic acid
FMWGQMVNSHZGIZ-BSDSXHPESA-N	078	(2r,3r,4r,5s)-3,5-bis(azanyl)-1,6-diphenyl-hexane-2,4-diol
ASWZRLFSSZUWDR-UZMSACSVSA-N	079	(s)-n-((2s,3s,4r,5r)-4-amino-3,5-dihydroxy-1,6-diphenylhexan-2-yl)-3-methyl-2-(2-phenoxyacetamido)butanamide
ICVNZKRWDVXSLF-XAMCCFCMSA-N	07B	dimethyl (1s,2s,4s,5s)-4,5-dihydroxycyclohexane-1,2-dicarboxylate
SKZKZBKXJCIIQD-UHFFFAOYSA-O	07G	2-(tert-butylamino)-1-(2-carboxy-6-chloro-1h-indol-3-yl)-1-[(3,4-difluorobenzyl)(formyl)amino]-2-oxoethylium
WZSVVCINTGQIRF-UHFFFAOYSA-N	07H	[4-(2h-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1h-pyrazol-5-yl)phenyl]methanone
QADPYRIHXKWUSV-UHFFFAOYSA-N	07J	3-(2,6-dichloro-3,5-dimethoxyphenyl)-1-(6-{[4-(4-ethylpiperazin-1-yl)phenyl]amino}pyrimidin-4-yl)-1-methylurea
TVZPXEZTWRAIID-UHFFFAOYSA-N	07K	8-methylquinolin-4-amine
ORHBXUUXSCNDEV-UHFFFAOYSA-N	07L	7-hydroxy-2h-chromen-2-one
RMZOHPFYZBRDJW-UHFFFAOYSA-N	07M	8-{[(2-cyanopyridin-3-yl)methyl]sulfanyl}-6-hydroxy-3,4-dihydro-1h-pyrano[3,4-c]pyridine-5-carbonitrile
BGDGHNSKANYMHF-JGVFFNPUSA-N	07N	2-[(3s,4r)-4-{[(3,4-dichloro-5-methyl-1h-pyrrol-2-yl)carbonyl]amino}-3-fluoropiperidin-1-yl]-1,3-thiazole-5-carboxylic acid
MKJXBQOLOVPPBW-WPRPVWTQSA-N	07O	s-[(2s)-2-phenylpropanoyl]-l-cysteine
BCHXWZQXEKOXKQ-IYKQKVLOSA-N	07P	n-[(2s,3r)-10-[(1r,2r)-2-decylcyclopropyl]-1-(alpha-d-galactopyranosyloxy)-3-hydroxydecan-2-yl]hexacosanamide
PZUHTMLHMMXBQW-GFCCVEGCSA-N	07Q	1-[(1r)-1-(3-methoxyphenyl)ethyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
GDVRVPIXWXOKQO-UHFFFAOYSA-N	07R	1-[(3-hydroxyphenyl)methyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
QCBHCZCWZWNPGE-UHFFFAOYSA-N	07S	1-(morpholin-4-yl)-2-[4-(2-{[5-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}pyridin-4-yl)piperazin-1-yl]ethanone
ZWKJWVSEDISQIS-RUZDIDTESA-N	07T	6-(3-aminobenzyl)-4-methyl-2-methylsulfinyl-4,6-dihydro-5h-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one
WNDOFCPEDZYDPL-UHFFFAOYSA-N	07U	2-methyl-n~1~-[3-(pyridin-4-yl)-2,6-naphthyridin-1-yl]propane-1,2-diamine
ULDHMXUKGWMISQ-SECBINFHSA-N	07V	(5r)-2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one
GCUAWHJDWUEGRV-UHFFFAOYSA-N	07Z	4-{[4-amino-5-(pyridin-3-ylcarbonyl)-1,3-thiazol-2-yl]amino}benzoic acid
FOYKYLQAKICGEN-AREMUKBSSA-N	082	(5r)-5-(3-{[3-(6-methoxy-1,2-benzoxazol-3-yl)-2-oxo-2,3-dihydro-1h-benzimidazol-1-yl]methyl}phenyl)-5-methyl-1,3-oxazolidine-2,4-dione
YKSJLEVXPOMXPZ-UHFFFAOYSA-N	083	4,6-dimethyl-n'-(3-pyridin-2-ylisoquinolin-1-yl)pyrimidine-2-carboximidamide
QICPQLFMWYQJGX-SFHVURJKSA-N	084	4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1h-imidazol-2-yl]-piperidine
FHYUGAJXYORMHI-UHFFFAOYSA-N	085	4-[5-(1,3-benzodioxol-5-yl)-4-(pyridin-2-yl)-1h-imidazol-2-yl]benzamide
DDZQOAWVENUEIU-UHFFFAOYSA-N	087	2-chloro-6-(4-{[(3,4-dichloro-5-methyl-1h-pyrrol-2-yl)carbonyl]amino}piperidin-1-yl)pyridine-4-carboxamide
FCSGTZIUJUNGAC-UHFFFAOYSA-N	088	3-[(5-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}-1h-indol-1-yl)methyl]benzoic acid
AUXATGQLTJKTRN-UHFFFAOYSA-N	08B	4-bromo-5-methyl-n-[1-(3-nitropyridin-2-yl)piperidin-4-yl]-1h-pyrrole-2-carboxamide
HETSSARHFAGODR-UHFFFAOYSA-N	08C	2-(4-methoxyphenyl)-3,4-dihydroquinazolin-4-one
JLKIGFTWXXRPMT-UHFFFAOYSA-N	08D	sulfamethoxazole
XPHRQEMVNFKEIN-UHFFFAOYSA-N	08E	1-[(2-aminopyridin-4-yl)methyl]-5-chloro-3-(2-oxo-1,2-dihydropyridin-3-yl)-1h-indole-2-carboxylic acid
CDTLONANIBXQJQ-UHFFFAOYSA-N	08F	1-[(2-aminopyridin-4-yl)methyl]-5-chloro-n-({3-[(methylsulfonyl)amino]phenyl}sulfonyl)-3-(2-oxo-1,2-dihydropyridin-3-yl)-1h-indole-2-carboxamide
VREFGVBLTWBCJP-UHFFFAOYSA-N	08H	8-chloro-1-methyl-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine
DDLIGBOFAVUZHB-UHFFFAOYSA-N	08J	8-chloro-6-(2-fluorophenyl)-1-methyl-4h-imidazo[1,5-a][1,4]benzodiazepine
UYIVCPRWMLOCSB-UHFFFAOYSA-N	08K	8-chloro-1,4-dimethyl-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,3,4]benzotriazepine
LHFIQSGZMYMEJJ-SCQOSXKUSA-N	08L	(2s,5s,8s,13s,16z)-5-benzyl-2-(cyclohexylmethyl)-3,6,9,15,18-pentaoxo-8-{3-[(pyrazin-2-ylcarbonyl)amino]propyl}-1,4,7,10,14-pentaazacyclooctadec-16-ene-13-carboxylic acid
GJGIGJGNECGMMN-ZETCQYMHSA-N	08M	n~5~-(pyrazin-2-ylcarbonyl)-l-ornithine
JOFZGZRXVKSFKN-UWTATZPHSA-N	08P	n-(carboxycarbonyl)-d-cysteine
NNHLQGCWACQGSN-AEJSXWLSSA-N	08Q	5'-o-{(s)-hydroxy[(2-sulfanylethyl)amino]phosphoryl}thymidine
CNZPKQOAIMARQF-FXAWDEMLSA-N	08R	6-{[(3s,4s)-4-{2-[(2-methoxybenzyl)amino]ethoxy}pyrrolidin-3-yl]methyl}-4-methylpyridin-2-amine
XDXFUKUYVISSEI-UHFFFAOYSA-N	08S	3-chloro-6-fluoro-n-[2-[4-[(5-propan-2-yl-1,3,4-thiadiazol-2-yl)sulfamoyl]phenyl]ethyl]-1-benzothiophene-2-carboxamide
WOGYHYSOODLXII-KWIZKVQNSA-J	08T	[[[(2r,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-tris(fluoranyl)beryllium 
HFRCANFHOYZAQE-UHFFFAOYSA-N	08W	n-methyl-1-{3-[(methylsulfonyl)amino]-2,4-dioxo-7-(trifluoromethyl)-1,2,3,4-tetrahydroquinazolin-6-yl}-1h-imidazole-4-carboxamide
WWKVFSPICQNZHM-ILFUNVDESA-N	08X	(2s,5s,8s,13s,16z)-5-(cyclohexylmethyl)-3,6,9,15,18-pentaoxo-2-(3-phenylprop-2-en-1-yl)-8-{3-[(pyrazin-2-ylcarbonyl)amino]propyl}-1,4,7,10,14-pentaazacyclooctadec-16-ene-13-carboxamide
OZVBMTJYIDMWIL-AYFBDAFISA-N	08Y	bromoergocryptine
LWEUMOYBSFDLPX-UHFFFAOYSA-N	08Z	4-{[4-amino-5-(pyridin-3-ylcarbonyl)-1,3-thiazol-2-yl]amino}benzamide
GLZPAFCYKOIQQZ-UHFFFAOYSA-O	090	n-(2,3-dihydro-7,8-dimethoxyimidazo[1,2-c] quinazolin-5-yl)nicotinamide
FQSHLSLQUHZOMV-LLVKDONJSA-N	091	(3s)-spiro[indole-3,3'-pyrrolidin]-2(1h)-one
WBRZAMFFUKWSQR-ZWNOBZJWSA-N	092	methyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
JFVNFXCESCXMBC-UHFFFAOYSA-N	093	n-(5-(4-chloro-3-(2-hydroxy-ethylsulfamoyl)- phenylthiazole-2-yl)-acetamide
PZUXNWPJBLCJKB-UHFFFAOYSA-N	094	1-(2,6-dichlorophenyl)-6-[(2,4-difluorophenyl)sulfanyl]-7-(1,2,3,6-tetrahydro-4-pyridinyl)-3,4-dihydropyrido[3,2-d]pyrimidin-2(1h)-one
HIOAPSYSJQPIRC-RHSMWYFYSA-N	095	tetrahydro-2h-pyran-4-yl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
XIVRJFPRMXOMLE-HSZRJFAPSA-N	096	(2r)-2-{4-hydroxy-5-methoxy-2-[3-(4-methylpiperazin-1-yl)propyl]phenyl}-3-pyridin-3-yl-1,3-thiazolidin-4-one
OCSMOTCMPXTDND-OUAUKWLOSA-N	097	(2s,3r)-n~4~-[(1s)-2,2-dimethyl-1-(methylcarbamoyl)propyl]-n~1~,2-dihydroxy-3-(2-methylpropyl)butanediamide
UACUZULRKJKTHE-CZYKHXBRSA-N	098	(3r)-n~2~-(cyclopropylmethyl)-n~1~-hydroxy-3-(3-hydroxybenzyl)-n~4~-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-l-aspartamide
VXDKQRWTOJFQKH-BJZITVGISA-N	099	(2r)-n~4~-hydroxy-2-(3-hydroxybenzyl)-n~1~-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]butanediamide
WDDNNMQSTPFSMZ-VQIMIIECSA-N	09A	benzyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
QVGGPTMZUCXDDT-YLJYHZDGSA-N	09B	4-cyanobenzyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
OXVVLWOQGFZGEO-OALUTQOASA-N	09C	(3s,5r)-3,5-bis(6-bromo-1h-indol-3-yl)piperazin-2-one
OPUJSFZMYKHRTH-LLGFUMIMSA-N	09D	(4s)-6-bromo-3,4-dihydro-2h-thiochromen-4-yl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
AENVIUXFIDGFED-LLGFUMIMSA-N	09E	(4s)-6-bromo-1,1-dioxido-3,4-dihydro-2h-thiochromen-4-yl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
VRCMTLQTPNLTIN-DNVCBOLYSA-N	09F	1-cyanocyclohexyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
DJYALAFSFGHFLN-YLJYHZDGSA-N	09G	3-bromo-4-cyanobenzyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
WRGSHXQBWJUKQD-UHFFFAOYSA-N	09H	2-(2,3-dihydro-1-benzofuran-5-yl)-n-[2-(piperazin-1-yl)phenyl]-1,3-thiazole-4-carboxamide
JCOILWGRHHMFON-UHFFFAOYSA-N	09J	3-[3-(2-chloro-6-fluorophenyl)-5-ethyl-6-oxo-5,6-dihydro[1,2,4]triazolo[4,3-b]pyridazin-7-yl]-n-cyclopropyl-4-methylbenzamide
YFXWYMXXKFMSOB-UHFFFAOYSA-N	09K	n-(5-cyclopropyl-1h-pyrazol-3-yl)-2-[4-(trifluoromethoxy)phenyl]acetamide
FDLYAMZZIXQODN-UHFFFAOYSA-N	09L	4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2h)-one
ZKPXUQQBRMXHLJ-UHFFFAOYSA-N	09M	(5-hydroxy-4-{[(1-hydroxy-2-oxo-1,2-dihydroquinolin-3-yl)amino]methyl}-6-methylpyridin-3-yl)methyl dihydrogen phosphate
WSXMIFGRYXQZQZ-ULOPOQRHSA-N	09N	(11z,14z)-n-[(2s,3s,4r)-1-(alpha-d-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]icosa-11,14-dienamide
JBOVXXZNZSULJJ-UHFFFAOYSA-N	09O	1-(pyridin-3-yl)-1,4-diazepane
RQXFSCANOMMTFZ-UHFFFAOYSA-N	09P	1-(5-ethoxypyridin-3-yl)-1,4-diazepane
YAWZOEAWIFAGIV-UHFFFAOYSA-N	09Q	1-(5-phenylpyridin-3-yl)-1,4-diazepane
JRNYLCIPPWHNEJ-UHFFFAOYSA-N	09R	1-(6-bromopyridin-3-yl)-1,4-diazepane
UGNNTIXQGYYUAP-UHFFFAOYSA-N	09S	1-(6-bromo-5-ethoxypyridin-3-yl)-1,4-diazepane
PCJBTWVYIQBUCM-UHFFFAOYSA-N	09T	1-(3,4-dichlorobenzyl)-5,6-dimethyl-1h-benzimidazole
XZUHEKNCBBQEBT-UHFFFAOYSA-N	09U	(methoxymethyl)cyclopropane
GUDMZGLFZNLYEY-UHFFFAOYSA-N	09V	cyclopropylmethanol
PDIHMNDWUQWWNQ-UHFFFAOYSA-N	09Z	[4-amino-2-(propan-2-ylamino)-1,3-thiazol-5-yl](pyridin-3-yl)methanone
UDMBCSSLTHHNCD-DEGSGYPDSA-N	0A	l-adenosine-5'-monophosphate
CWAYDJFPMMUKOI-YFKPBYRVSA-N	0A0	2-methyl-l-aspartic acid
GEYBMYRBIABFTA-VIFPVBQESA-N	0A1	o-methyl-l-tyrosine
PXBXSVLNVFCWMU-VIFPVBQESA-N	0A2	[(1r)-1,5-diaminopentyl][bis(ethanolato)]hydroxyborate(1-)
WTIAJRXHONNHHK-KTFFUYHOSA-N	0A3	(2r)-2-[(r)-{[(2z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}(carboxy)methyl]-5-methyl-3,6-dihydro-2h-1,3-thiazine-4-carboxylic acid
PYSTWTYTGVRHPO-NWDGAFQWSA-N	0A4	(2r)-2-{(r)-carboxy[(thiophen-2-ylacetyl)amino]methyl}-5-methylidene-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid
GRHQDJDRGZFIPO-UHFFFAOYSA-N	0A5	4-bromobutanoic acid
FHHFKGGCXNOIAY-SCSAIBSYSA-N	0A6	(3r)-4-ethoxy-3-hydroxy-4-oxobutanoic acid
ZHQLTKAVLJKSKR-UHFFFAOYSA-N	0A7	2-(carboxymethyl)benzoic acid
JFWAKRSZKNRPNA-BYPYZUCNSA-N	0A8	s-[(2-chloroethyl)carbamoyl]-l-cysteine
VSDUZFOSJDMAFZ-VIFPVBQESA-N	0A9	methyl l-phenylalaninate
CEMZBWPSKYISTN-YFKPBYRVBU	0AA	methyl l-valinate
SBDJAXOULWQEQY-WHFBIAKZSA-N	0AB	(3s,4s)-3-amino-4-methyl-3,4-dihydro-2h-pyran-2-one
RZDSOGPADIZKDQ-QWRGUYRKSA-N	0AC	(4s,5s)-5-amino-4-hydroxy-6-phenylhexanoic acid
OWYUJGCLBCUIHH-DJLDLDEBSA-N	0AD	2'-deoxy-n-propylguanosine 5'-(dihydrogen phosphate)
VQSRKJZICBNQJG-QMMMGPOBSA-N	0AF	7-hydroxy-l-tryptophan
WJYLMMNPQWEDQG-ZETCQYMHSA-N	0AG	n-(ethoxycarbonyl)-l-leucine
PNOKHJAKXLINKP-VKHMYHEASA-N	0AH	o-(bromoacetyl)-l-serine
HPXHVBAASZCSSR-LVAAGULDSA-N	0AI	methyl 2-(acetylamino)-2-deoxy-alpha-d-galactopyranosiduronic acid
RLVVEDPRNSYGPR-RXMQYKEDSA-N	0AJ	(1r)-1-(ethylsulfanyl)-1-(methylsulfanyl)ethane
TZDZYSQZECUBEP-BYPYZUCNSA-N	0AK	(2s)-2-amino-4-(2-chloroethoxy)-4-oxobutanoic acid
JDFMKMOMBHLESC-ZXGHKZRODH	0AL	4-o-phosphono-d-glycero-beta-d-manno-heptopyranose
NGHHQXIMUJEXSI-ZHKZWPBFDM	0AM	2'-deoxy-n-[3-(propyldisulfanyl)propyl]adenosine 5'-(dihydrogen phosphate)
VDSBYCKQQBUKLD-LBPRGKRZSA-N	0AO	(2s)-2-amino-3-naphthalen-1-ylpropanal
PIILJQRMNSOCFD-SHYZEUOFSA-N	0AP	2'-deoxycytidine 3',5'-bis(dihydrogen phosphate)
IHBIRUKKKZVHQW-LURJTMIESA-N	0AR	n-[n-[(4s)-4-azanyl-5-hydroxy-5-oxo-pentyl]carbamimidoyl]ethanamide
JXSVIVRDWWRQRT-UYDOISQJSA-N	0AS	asiatic acid
BRGMHAYQAZFZDJ-AYXGEMCZDW	0AT	2-(acetylamino)-2-deoxy-6-o-phosphono-alpha-d-glucopyranose
HXJLWCWPONZYNP-AKEJSHTLDN	0AU	5-iodouridine 5'-(dihydrogen phosphate)
TVGFEBXIZUYVFR-XNALEWAGDG	0AV	2'-o-methyladenosine 5'-(dihydrogen phosphate)
FYUGRVWDCBMIQX-VIFPVBQESA-N	0AY	diethyl [(1r)-1,5-diaminopentyl]boronate
PMMYEEVYMWASQN-QWWZWVQMSA-N	0AZ	(4r)-4-hydroxy-d-proline
QECXNBWGUGUPSI-ROUUACIJSA-N	0B1	2-amino-6-[(1s,2r)-2-(3'-methoxybiphenyl-3-yl)cyclopropyl]-3-methylpyrimidin-4(3h)-one
OEWIJBYSGPNZTD-KOLCDFICSA-N	0B2	(2s,4r)-2-amino-1-cyclohexyl-5-hydroxy-4-methylpentan-3-one
NHJCZSSEYRWDOJ-CQSZACIVSA-N	0B3	(6r)-2-amino-3,6-dimethyl-6-(2-phenylethyl)-5,6-dihydropyrimidin-4(3h)-one
YBXYDJCRBQOXMI-ZOWXZIJZSA-N	0B4	(6s)-2-amino-3,6-dimethyl-6-[(1r,2r)-2-phenylcyclopropyl]-5,6-dihydropyrimidin-4(3h)-one
WYBNXPWKJQJMLG-UHFFFAOYSA-N	0BB	4-{3-[(4-methyl-1-benzothiophen-3-yl)methyl]-2-oxo-2,3-dihydro-1h-benzimidazol-1-yl}butanoic acid
RCXNRCWFTSDLDY-RDEKNSNJSA-N	0BD	3-methyl-1-(2-methylpropyl)butyl 4-o-beta-l-gulopyranosyl-beta-d-glucopyranoside
PWOSZCQLSAMRQW-UHFFFAOYSA-N	0BE	beryllium
